schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
cosine_bump,obj_0275,0.325861,22.7416,0.003443,0.148560,0.243042,0.033503,0.021835,0.389938
cosine_bump,obj_0276,0.417645,18.2414,0.007595,0.196045,0.250000,0.007807,0.051502,0.209666
cosine_bump,obj_0277,0.387089,17.0051,0.010345,0.202881,0.286133,0.003416,0.040464,0.175559
cosine_bump,obj_0278,0.445889,23.2378,0.002428,0.168457,0.166138,0.009903,0.026811,0.206886
cosine_bump,obj_0279,0.371075,22.6633,0.003937,0.179810,0.206787,0.024628,0.017218,0.333563
cosine_bump,obj_0280,0.387552,15.3827,0.007736,0.195435,0.270996,0.007606,0.070051,0.265398
cosine_bump,obj_0281,0.465563,21.6289,0.002451,0.146973,0.169189,0.007837,0.042459,0.220296
cosine_bump,obj_0282,0.333035,24.2421,0.004070,0.134399,0.226196,0.020891,0.059509,0.365241
cosine_bump,obj_0283,0.292291,13.3370,0.026123,0.220093,0.421631,0.003375,0.035892,0.149055
cosine_bump,obj_0284,0.115484,16.5859,0.009659,0.188354,0.344727,0.131415,0.023977,0.982595
cosine_bump,obj_0285,0.402567,20.4803,0.004490,0.210083,0.217651,0.004266,0.068849,0.187473
cosine_bump,obj_0286,0.308211,14.8048,0.008743,0.199463,0.311279,0.006944,0.056326,0.229819
cosine_bump,obj_0287,0.507809,23.0467,0.001859,0.172363,0.161987,0.006067,0.019390,0.169933
cosine_bump,obj_0288,0.426406,18.8775,0.018784,0.201538,0.274658,0.006497,0.026002,0.165318
cosine_bump,obj_0289,0.371586,14.5610,0.010185,0.177979,0.352051,0.005438,0.073741,0.166728
cosine_bump,obj_0290,0.463795,16.8661,0.006485,0.195557,0.226929,0.003477,0.021560,0.149283
cosine_bump,obj_0291,0.490302,21.3516,0.002087,0.156738,0.169556,0.007455,0.028998,0.188778
cosine_bump,obj_0292,0.344846,16.1567,0.007553,0.189087,0.281250,0.008399,0.031454,0.286391
cosine_bump,obj_0293,0.322004,26.0406,0.002575,0.167480,0.200562,0.018298,0.041409,0.368487
cosine_bump,obj_0294,0.380334,19.6754,0.004856,0.208862,0.235596,0.008569,0.032942,0.280819
cosine_bump,obj_0295,0.386016,16.8514,0.012650,0.182739,0.329590,0.004932,0.013023,0.199949
cosine_bump,obj_0296,0.365988,15.1765,0.014969,0.209229,0.310791,0.004655,0.045382,0.216247
cosine_bump,obj_0297,0.375771,21.3234,0.003225,0.174438,0.211060,0.007217,0.016731,0.298636
cosine_bump,obj_0298,0.181629,17.4198,0.013519,0.201416,0.367432,0.070726,0.033735,0.727601
cosine_bump,obj_0299,0.395175,15.5848,0.009514,0.212036,0.266846,0.008822,0.166634,0.229603
