participant,object,criterion,choice
NUM02,OBJ03,overall,s1.25
NUM02,OBJ04,overall,s1.25
NUM02,OBJ05,overall,C3
NUM02,OBJ06,overall,C3
NUM02,OBJ07,overall,C3
NUM02,OBJ08,overall,C3
NUM02,OBJ09,overall,s2.50
NUM02,OBJ10,overall,C3
NUM02,OBJ11,overall,s2.50
NUM02,OBJ12,overall,s2.50
NUM02,OBJ13,overall,C3
NUM02,OBJ14,overall,C3
NUM02,OBJ15,overall,C3
NUM02,OBJ16,overall,s1.25
NUM02,OBJ17,overall,C3
NUM02,OBJ18,overall,C3
NUM02,OBJ19,overall,C3
NUM02,OBJ20,overall,s1.25
NUM02,OBJ21,overall,s1.25
NUM02,OBJ22,overall,C3
NUM02,OBJ23,overall,C3
NUM02,OBJ24,overall,C3
NUM02,OBJ25,overall,s2.50
NUM02,OBJ26,overall,C3
NUM02,OBJ27,overall,C3
NUM02,OBJ28,overall,C3
NUM02,OBJ29,overall,s2.50
NUM02,OBJ30,overall,C3
NUM03,OBJ01,texture,C3
NUM03,OBJ02,texture,C3
NUM03,OBJ03,texture,s2.50
NUM03,OBJ04,texture,s1.25
NUM03,OBJ05,texture,C3
NUM03,OBJ06,texture,C3
NUM03,OBJ07,texture,C3
NUM03,OBJ08,texture,s1.25
NUM03,OBJ09,texture,s1.25
NUM03,OBJ10,texture,C3
NUM03,OBJ11,texture,s1.25
NUM03,OBJ12,texture,s1.25
NUM03,OBJ13,texture,s1.25
NUM03,OBJ14,texture,C3
NUM03,OBJ15,texture,C3
NUM03,OBJ16,texture,s1.25
NUM03,OBJ17,texture,C3
NUM03,OBJ18,texture,C3
NUM03,OBJ19,texture,C3
NUM03,OBJ20,texture,C3
NUM03,OBJ21,texture,s1.25
NUM03,OBJ22,texture,s1.25
NUM03,OBJ23,texture,C3
NUM03,OBJ24,texture,s1.25
NUM03,OBJ25,texture,C3
NUM03,OBJ26,texture,C3
NUM03,OBJ27,texture,s1.25
NUM03,OBJ28,texture,C3
