schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
linear_warmup,obj_0225,0.497034,22.8024,0.002125,0.113037,0.150513,0.006896,0.073784,0.199857
linear_warmup,obj_0226,0.087583,28.5773,0.007664,0.108398,0.233398,0.105581,0.030724,1.238611
linear_warmup,obj_0227,0.394938,12.4704,0.002419,0.151001,0.154663,0.008805,0.263993,0.291322
linear_warmup,obj_0228,0.426578,23.1796,0.001655,0.132690,0.126953,0.013973,0.017867,0.339462
linear_warmup,obj_0229,0.392992,20.4934,0.003656,0.111877,0.204468,0.016004,0.024654,0.374665
linear_warmup,obj_0230,0.297791,17.4136,0.003387,0.111511,0.169434,0.020448,0.084322,0.494196
linear_warmup,obj_0231,0.603865,18.8409,0.002052,0.138184,0.120667,0.005445,0.056775,0.165737
linear_warmup,obj_0232,0.481735,17.8476,0.002592,0.135864,0.135620,0.008481,0.047629,0.266765
linear_warmup,obj_0233,0.497933,24.4703,0.001855,0.118225,0.145996,0.008029,0.011828,0.227614
linear_warmup,obj_0234,0.166920,15.8776,0.004341,0.111511,0.224609,0.023186,0.015696,0.447392
linear_warmup,obj_0235,0.472621,21.8104,0.001315,0.099792,0.132568,0.008518,0.033440,0.235952
linear_warmup,obj_0236,0.520647,24.6205,0.001178,0.122559,0.116211,0.009414,0.034445,0.217330
linear_warmup,obj_0237,0.452130,24.1017,0.002068,0.123352,0.154175,0.015005,0.016765,0.272159
linear_warmup,obj_0238,0.298673,25.5707,0.001939,0.129272,0.122498,0.025133,0.043065,0.538753
linear_warmup,obj_0239,0.344193,18.2790,0.003731,0.116577,0.192261,0.015527,0.042497,0.348701
linear_warmup,obj_0240,0.247309,24.7562,0.001686,0.103821,0.136597,0.031022,0.040678,0.702888
linear_warmup,obj_0241,0.413010,17.7558,0.007942,0.174561,0.261230,0.003097,0.100936,0.130212
linear_warmup,obj_0242,0.473008,20.3856,0.003372,0.126465,0.180420,0.009554,0.064061,0.282764
linear_warmup,obj_0243,0.424023,14.6227,0.005993,0.105591,0.265137,0.003685,0.141173,0.248786
linear_warmup,obj_0244,0.344200,14.6712,0.011909,0.137817,0.313965,0.004787,0.024086,0.200946
linear_warmup,obj_0245,0.260013,26.9222,0.004875,0.121216,0.227661,0.042118,0.015042,0.575808
linear_warmup,obj_0246,0.468357,17.5574,0.004807,0.118652,0.202026,0.006705,0.033856,0.246244
linear_warmup,obj_0247,0.280089,20.6507,0.002909,0.112305,0.178711,0.022272,0.020491,0.518008
linear_warmup,obj_0248,0.546172,21.4304,0.001333,0.117249,0.120789,0.009032,0.018915,0.197522
linear_warmup,obj_0249,0.390570,22.1411,0.003111,0.110352,0.181519,0.014480,0.035191,0.381769
linear_warmup,obj_0250,0.559549,20.4946,0.001509,0.118774,0.121643,0.004243,0.038619,0.165666
linear_warmup,obj_0251,0.351280,20.2459,0.005234,0.118286,0.262451,0.018029,0.020915,0.359335
linear_warmup,obj_0252,0.317189,25.6678,0.005680,0.072815,0.190063,0.042380,0.025430,0.547501
linear_warmup,obj_0253,0.417478,17.1635,0.004295,0.116821,0.191040,0.007043,0.042064,0.286198
linear_warmup,obj_0254,0.509998,22.9142,0.003191,0.110229,0.179077,0.006519,0.009498,0.197111
linear_warmup,obj_0255,0.292403,27.9341,0.002539,0.126465,0.150269,0.020012,0.028662,0.524421
